Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Atlanta Hawks*,82,242.4,38.4,81.8,.470,0.6,2.3,.247,37.9,79.5,.476,23.1,30.3,.762,13.8,29.1,43.0,22.8,7.0,5.3,17.6,26.6,100.5
2,Washington Bullets*,82,241.8,41.0,88.2,.465,0.5,2.2,.240,40.5,85.9,.471,20.1,27.3,.735,13.5,30.7,44.2,23.0,7.6,6.6,16.2,23.3,102.6
3,Phoenix Suns*,82,241.8,40.9,87.6,.466,0.6,2.4,.255,40.2,85.2,.472,20.4,27.0,.754,14.1,28.9,43.0,23.8,9.5,4.4,17.0,25.2,102.7
4,Milwaukee Bucks*,82,241.5,40.2,86.2,.467,0.7,2.7,.254,39.5,83.4,.474,21.8,30.1,.725,14.3,26.3,40.6,24.6,8.8,4.3,18.8,26.7,102.9
5,Seattle SuperSonics*,82,241.8,41.6,90.3,.461,0.6,2.5,.239,41.0,87.9,.467,19.3,26.6,.727,15.1,29.5,44.6,24.3,8.0,3.8,17.1,26.2,103.1
6,Indiana Pacers,82,241.8,42.3,86.1,.491,0.4,2.2,.186,41.9,83.9,.499,19.0,26.0,.730,14.7,31.7,46.4,25.0,8.3,4.8,18.5,24.6,104.0
7,Philadelphia 76ers*,82,242.1,41.1,86.4,.476,0.7,2.6,.259,40.4,83.8,.483,22.6,30.4,.742,15.7,28.6,44.3,24.0,8.6,5.7,19.7,27.0,105.5
8,Boston Celtics*,82,241.2,42.6,90.6,.470,0.5,2.5,.192,42.1,88.1,.478,20.0,26.5,.754,14.5,27.4,42.0,24.0,8.3,4.5,17.5,27.3,105.6
9,Houston Rockets*,82,241.2,43.5,87.6,.497,0.6,2.5,.238,42.9,85.1,.504,18.3,24.5,.747,14.3,28.1,42.4,26.0,8.3,4.3,16.4,25.0,105.9
10,New Jersey Nets*,82,241.2,40.8,84.6,.482,0.7,2.3,.310,40.1,82.3,.487,23.7,31.7,.749,13.9,28.6,42.5,23.5,10.1,6.6,22.1,26.4,106.0
11,Chicago Bulls,82,242.4,44.6,90.1,.495,0.7,2.4,.299,43.9,87.7,.501,18.7,25.0,.747,13.8,27.1,41.0,24.9,9.8,5.7,15.3,27.1,108.6
12,New York Knicks,82,241.8,43.2,85.6,.505,0.6,2.0,.304,42.6,83.5,.509,21.9,28.9,.757,13.7,28.9,42.6,25.5,8.6,4.4,17.8,24.6,108.9
13,Dallas Mavericks,82,240.6,43.0,84.8,.508,0.4,1.7,.225,42.7,83.1,.513,22.5,30.4,.741,13.5,28.8,42.3,24.2,7.8,6.2,16.7,27.4,109.0
14,Portland Trail Blazers,82,241.2,44.4,88.9,.499,0.7,2.5,.262,43.7,86.4,.506,19.9,26.2,.758,14.9,28.9,43.8,25.8,8.6,5.2,17.7,26.1,109.2
15,Los Angeles Lakers*,82,242.1,45.7,93.6,.488,1.0,2.6,.366,44.7,91.0,.491,17.5,24.5,.714,15.5,27.5,43.0,28.3,8.8,5.3,18.1,24.4,109.8
16,Golden State Warriors,82,241.2,43.4,88.4,.490,0.5,2.1,.233,42.9,86.3,.497,22.6,30.1,.753,13.6,29.4,42.9,25.4,8.1,4.8,16.7,26.3,109.8
17,Kansas City Kings,82,242.4,42.6,85.2,.500,0.6,1.9,.304,42.0,83.2,.505,24.5,32.4,.756,14.3,31.1,45.4,22.6,8.6,5.5,19.6,26.0,110.2
18,San Antonio Spurs*,82,240.9,43.5,90.1,.483,0.7,2.4,.291,42.8,87.6,.488,23.1,30.5,.758,14.0,29.7,43.7,24.8,7.5,5.2,16.5,26.6,110.8
19,Cleveland Cavaliers,82,241.5,44.0,85.9,.512,0.5,1.6,.298,43.5,84.3,.516,23.2,30.8,.754,13.7,30.8,44.6,26.5,8.0,5.9,17.1,25.3,111.7
20,Detroit Pistons,82,241.8,45.7,89.8,.509,0.5,2.1,.234,45.2,87.6,.516,20.1,27.0,.745,14.1,29.7,43.8,26.7,9.5,7.1,20.0,29.1,112.0
21,San Diego Clippers,82,240.9,45.6,86.6,.526,0.4,1.8,.247,45.2,84.9,.532,24.2,32.3,.751,12.6,27.8,40.4,26.0,9.4,5.9,16.3,25.9,115.9
22,Utah Jazz,82,241.2,46.8,91.8,.509,0.6,2.4,.255,46.1,89.4,.516,22.4,30.1,.745,15.3,31.7,47.0,26.2,8.1,5.1,17.2,25.0,116.6
23,Denver Nuggets*,82,241.8,52.0,99.3,.524,0.8,2.8,.282,51.2,96.5,.531,21.1,28.7,.737,16.6,30.0,46.5,30.7,9.1,6.9,18.0,29.9,126.0
,League Average,82,241.6,43.3,88.2,.491,0.6,2.3,.262,42.7,86.0,.497,21.3,28.6,.746,14.3,29.1,43.5,25.2,8.5,5.4,17.7,26.2,108.6
